PROJECT ID,PROJECT NAME,PROJECT STATUS,PRODUCT LINE,REGION,COUNTRY,LENDING INSTRUMENT,LENDING INSTRUMENT TYPE,ENV. CATEGORY,IMP AGENCY,SECTOR 1,APPROVAL DATE,CLOSING DATE,commitment_total,disbursement_total,d1,pct_dis1,total_pct_dis1,d2,pct_dis2,total_pct_dis2,d3,pct_dis3,total_pct_dis3,d4,pct_dis4,total_pct_dis4,d5,pct_dis5,total_pct_dis5,d6,pct_dis6,total_pct_dis6,d7,pct_dis7,total_pct_dis7,full_duration,ad1,d1_duration,d1_pct_duration,ad2,d2_duration,d2_pct_duration,ad3,d3_duration,d3_pct_duration,ad4,d4_duration,d4_pct_duration,ad5,d5_duration,d5_pct_duration,ad6,d6_duration,d6_pct_duration,ad7,d7_duration,d7_pct_duration
P116965,Influenza Prevention and Control,Closed,IBRD/IDA,LATIN AMERICA AND CARIBBEAN,Mexico,Emergency Recovery Loan,INVESTMENT,B,MINISTRY OF HEALTH,Health,24-Nov-09,31-Dec-12,491000000,0,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,#DIV/0!,#DIV/0!,0,Err:520,Err:520,0,Err:520,Err:520,37,24-Nov-09,0,,,,,,,,,,,,,,,,,,,
P116972,First Performance and Accountability of Social Sectors Development Policy Loan,Closed,IBRD/IDA,LATIN AMERICA AND CARIBBEAN,Dominican Republic,Development Policy Lending,DEVELOPMENT POLICY LENDING,,MINISTRY OF FINANCE,Other social services,17-Nov-09,10-Dec-10,150000000,150000000,150000000,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,13,17-Nov-09,0,,,,,,,,,,,,,,,,,,,
P116984,Development Policy Loan,Closed,IBRD/IDA,EUROPE AND CENTRAL ASIA,"Macedonia, former Yugoslav Republic of",Development Policy Lending,DEVELOPMENT POLICY LENDING,,MINISTRY OF FINANCE,Other social services,15-Dec-09,31-Dec-10,30000000,27697462.88,27697462.88,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,12,15-Dec-09,0,,,,,,,,,,,,,,,,,,,
P116989,AR Road Safety,Active,IBRD/IDA,LATIN AMERICA AND CARIBBEAN,Argentina,Adaptable Program Loan,INVESTMENT,B,NATIONAL ROAD SAFETY AGENCY,General transportation sector,6-Apr-10,28-Feb-17,30000000,19874468.62,19874468.62,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,82,6-Apr-10,0,,,,,,,,,,,,,,,,,,,
P117005,Emergency Infrastructure Rehabilitation Project - Additional Financing,Closed,IBRD/IDA,AFRICA,Liberia,Emergency Recovery Loan,INVESTMENT,B,MINISTRY OF PUBLIC WORKS,"Ports, waterways and shipping",30-Jun-09,N/A,8200000,0,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,#DIV/0!,#DIV/0!,0,Err:520,Err:520,0,Err:520,Err:520,Err:520,,,,,,,,,,,,,,,,,,,,,
P117019,Agriculture and Infrastructure Developmen Project - Additional Financing,Closed,IBRD/IDA,AFRICA,Liberia,Emergency Recovery Loan,INVESTMENT,B,MINISTRY OF PUBLIC WORKS,Rural and Inter-Urban Roads and Highways,30-Jun-09,N/A,16000000,0,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,#DIV/0!,#DIV/0!,0,Err:520,Err:520,0,Err:520,Err:520,Err:520,,,,,,,,,,,,,,,,,,,,,
P117023,Jordan Recovery Under Global Uncertainty Development Policy Loan,Closed,IBRD/IDA,MIDDLE EAST AND NORTH AFRICA,Jordan,Development Policy Lending,DEVELOPMENT POLICY LENDING,,MINISTRY OF FINANCE,Banking,19-Nov-09,31-Dec-11,300000000,300000000,300000000,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,25,19-Nov-09,0,,,,,,,,,,,,,,,,,,,
P117043,Public Sector Reform Development Policy Loan,Closed,IBRD/IDA,LATIN AMERICA AND CARIBBEAN,Paraguay,Development Policy Lending,DEVELOPMENT POLICY LENDING,,MINISTRY OF FINANCE,Central government administration,13-Dec-11,31-Dec-13,100000000,100000000,100000000,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,24,13-Dec-11,0,,,,,,,,,,,,,,,,,,,
P117082,Tunisia Northern Tunis Wastewater Project,Active,IBRD/IDA,MIDDLE EAST AND NORTH AFRICA,Tunisia,Specific Investment Loan,INVESTMENT,A,ONAS,Wastewater Collection and Transportation,17-Jun-10,30-Jun-17,52000000,7597718.95,7597718.95,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,84,17-Jun-10,0,,,,,,,,,,,,,,,,,,,
P117087,OECS E-Government for Regional Integration - St. Vincent & the Grenadines (APL 2),Closed,IBRD/IDA,LATIN AMERICA AND CARIBBEAN,OECS Countries,Adaptable Program Loan,INVESTMENT,C,OECS SECRETARIAT,Information technology,15-Dec-09,28-Feb-14,2300000,2292973.06,2292973.06,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,50,15-Dec-09,0,,,,,,,,,,,,,,,,,,,
